district,state,year,quarter,registered_users,app_openings
thiruvallur district,tamil-nadu,2021,2,1626966,25866052
theni district,tamil-nadu,2021,2,200555,4717639
ranipet district,tamil-nadu,2021,2,266500,5358940
namakkal district,tamil-nadu,2021,2,326094,6676942
vellore district,tamil-nadu,2021,2,370600,7417717
thiruvarur district,tamil-nadu,2021,2,138929,3476217
tiruchirappalli district,tamil-nadu,2021,3,607438,13013878
ramanathapuram district,tamil-nadu,2021,3,184592,7525400
krishnagiri district,tamil-nadu,2021,3,683549,27316621
cuddalore district,tamil-nadu,2021,3,463831,9827523
kancheepuram district,tamil-nadu,2021,3,1025651,19375692
tiruppur district,tamil-nadu,2021,3,891753,21671965
dharmapuri district,tamil-nadu,2021,3,355076,15339761
thoothukkudi district,tamil-nadu,2021,3,288108,8777581
thanjavur district,tamil-nadu,2021,3,392930,8199685
madurai district,tamil-nadu,2021,3,725021,13827478
tiruvannamalai district,tamil-nadu,2021,3,428728,13794613
salem district,tamil-nadu,2021,3,798213,20472771
nagapattinam district,tamil-nadu,2021,3,199299,4991047
tirupathur district,tamil-nadu,2021,3,279522,8722087
ariyalur district,tamil-nadu,2021,3,117383,3848076
chennai district,tamil-nadu,2021,3,2124347,32604176
the nilgiris district,tamil-nadu,2021,3,153030,5408994
erode district,tamil-nadu,2021,3,519095,12194930
karur district,tamil-nadu,2021,3,195366,7353859
kallakkurichi district,tamil-nadu,2021,3,268553,8113239
viluppuram district,tamil-nadu,2021,3,333349,9367720
pudukkottai district,tamil-nadu,2021,3,207359,8715851
perambalur district,tamil-nadu,2021,3,98707,3559584
coimbatore district,tamil-nadu,2021,3,1494350,29670591
virudhunagar district,tamil-nadu,2021,3,303934,8566821
dindigul district,tamil-nadu,2021,3,386724,14066264
sivaganga district,tamil-nadu,2021,3,211419,8437970
tenkasi district,tamil-nadu,2021,3,179448,5091451
chengalpattu district,tamil-nadu,2021,3,1438295,26216614
kanniyakumari district,tamil-nadu,2021,3,327767,5466962
tirunelveli district,tamil-nadu,2021,3,298663,7647663
thiruvallur district,tamil-nadu,2021,3,1744228,33893931
theni district,tamil-nadu,2021,3,215932,6649668
ranipet district,tamil-nadu,2021,3,286775,6784440
namakkal district,tamil-nadu,2021,3,351110,9186158
vellore district,tamil-nadu,2021,3,397837,9908984
thiruvarur district,tamil-nadu,2021,3,150058,4216686
tiruchirappalli district,tamil-nadu,2021,4,649095,18168700
ramanathapuram district,tamil-nadu,2021,4,197871,5823063
krishnagiri district,tamil-nadu,2021,4,731018,41063180
cuddalore district,tamil-nadu,2021,4,496175,15600629
kancheepuram district,tamil-nadu,2021,4,1094222,38045414
tiruppur district,tamil-nadu,2021,4,954674,38382082
dharmapuri district,tamil-nadu,2021,4,380374,18597625
thoothukkudi district,tamil-nadu,2021,4,308403,8325418
thanjavur district,tamil-nadu,2021,4,419975,11666398
madurai district,tamil-nadu,2021,4,774490,22579696
tiruvannamalai district,tamil-nadu,2021,4,459291,15602060
salem district,tamil-nadu,2021,4,853064,30404374
nagapattinam district,tamil-nadu,2021,4,213351,6048155
tirupathur district,tamil-nadu,2021,4,298708,13267509
ariyalur district,tamil-nadu,2021,4,125914,4097525
chennai district,tamil-nadu,2021,4,2261346,61396354
the nilgiris district,tamil-nadu,2021,4,163376,5738513
erode district,tamil-nadu,2021,4,555089,17688206
karur district,tamil-nadu,2021,4,209536,6652899
kallakkurichi district,tamil-nadu,2021,4,287987,10237398
viluppuram district,tamil-nadu,2021,4,356755,12145153
pudukkottai district,tamil-nadu,2021,4,222558,6954715
perambalur district,tamil-nadu,2021,4,105814,3321994
coimbatore district,tamil-nadu,2021,4,1594082,56676456
virudhunagar district,tamil-nadu,2021,4,325642,9467511
dindigul district,tamil-nadu,2021,4,414158,14851971
sivaganga district,tamil-nadu,2021,4,226759,7264948
tenkasi district,tamil-nadu,2021,4,192159,5242074
chengalpattu district,tamil-nadu,2021,4,1532535,47983778
kanniyakumari district,tamil-nadu,2021,4,350058,8404616
tirunelveli district,tamil-nadu,2021,4,319265,8850319
thiruvallur district,tamil-nadu,2021,4,1860992,64247558
theni district,tamil-nadu,2021,4,231118,7732421
ranipet district,tamil-nadu,2021,4,306295,11305189
namakkal district,tamil-nadu,2021,4,375908,12188362
vellore district,tamil-nadu,2021,4,424585,15475176
thiruvarur district,tamil-nadu,2021,4,160500,4364001
tiruchirappalli district,tamil-nadu,2020,1,339829,4719933
ramanathapuram district,tamil-nadu,2020,1,93243,1175864
krishnagiri district,tamil-nadu,2020,1,379857,6993104
cuddalore district,tamil-nadu,2020,1,247650,2974425
kancheepuram district,tamil-nadu,2020,1,626872,12333880
tiruppur district,tamil-nadu,2020,1,488697,7062739
dharmapuri district,tamil-nadu,2020,1,194617,3208124
thoothukkudi district,tamil-nadu,2020,1,152572,1838344
thanjavur district,tamil-nadu,2020,1,208798,2797086
madurai district,tamil-nadu,2020,1,402474,5507257
tiruvannamalai district,tamil-nadu,2020,1,230261,3220937
salem district,tamil-nadu,2020,1,442045,5979694
nagapattinam district,tamil-nadu,2020,1,101777,1199502
tirupathur district,tamil-nadu,2020,1,148648,2283628
ariyalur district,tamil-nadu,2020,1,60040,750655
chennai district,tamil-nadu,2020,1,1340762,25098869
the nilgiris district,tamil-nadu,2020,1,80235,1121593
erode district,tamil-nadu,2020,1,279035,3501764
karur district,tamil-nadu,2020,1,102936,1273957
kallakkurichi district,tamil-nadu,2020,1,138096,1826308
viluppuram district,tamil-nadu,2020,1,181301,2691021
pudukkottai district,tamil-nadu,2020,1,103610,1301766
perambalur district,tamil-nadu,2020,1,50493,630038
coimbatore district,tamil-nadu,2020,1,868832,14620009
virudhunagar district,tamil-nadu,2020,1,158388,1996827
dindigul district,tamil-nadu,2020,1,204661,2864002
sivaganga district,tamil-nadu,2020,1,106993,1359734
tenkasi district,tamil-nadu,2020,1,92142,1017754
chengalpattu district,tamil-nadu,2020,1,912587,24586991
kanniyakumari district,tamil-nadu,2020,1,171611,1981360
tirunelveli district,tamil-nadu,2020,1,158258,1860525
thiruvallur district,tamil-nadu,2020,1,1041642,18732482
theni district,tamil-nadu,2020,1,111186,1398101
ranipet district,tamil-nadu,2020,1,160257,2386777
namakkal district,tamil-nadu,2020,1,191510,2352284
vellore district,tamil-nadu,2020,1,225181,4369641
thiruvarur district,tamil-nadu,2020,1,75272,891778
tiruchirappalli district,tamil-nadu,2020,2,383178,4397712
ramanathapuram district,tamil-nadu,2020,2,111008,1538437
krishnagiri district,tamil-nadu,2020,2,424184,6702370
cuddalore district,tamil-nadu,2020,2,283455,3562036
kancheepuram district,tamil-nadu,2020,2,678899,7473570
tiruppur district,tamil-nadu,2020,2,550609,5884781
dharmapuri district,tamil-nadu,2020,2,221016,3874848
thoothukkudi district,tamil-nadu,2020,2,176731,2097792
thanjavur district,tamil-nadu,2020,2,240366,2808288
madurai district,tamil-nadu,2020,2,456527,5318809
tiruvannamalai district,tamil-nadu,2020,2,264353,4180733
salem district,tamil-nadu,2020,2,499360,6083707
nagapattinam district,tamil-nadu,2020,2,119011,1465103
tirupathur district,tamil-nadu,2020,2,170574,2597785
ariyalur district,tamil-nadu,2020,2,70530,1030795
chennai district,tamil-nadu,2020,2,1436722,13039961
the nilgiris district,tamil-nadu,2020,2,93246,1275950
erode district,tamil-nadu,2020,2,317681,3331606
karur district,tamil-nadu,2020,2,118636,1436363
kallakkurichi district,tamil-nadu,2020,2,160550,2486862
viluppuram district,tamil-nadu,2020,2,206170,3122431
pudukkottai district,tamil-nadu,2020,2,122447,1627425
perambalur district,tamil-nadu,2020,2,58963,747910
coimbatore district,tamil-nadu,2020,2,958191,9575606
virudhunagar district,tamil-nadu,2020,2,184693,2347483
dindigul district,tamil-nadu,2020,2,236638,3137832
sivaganga district,tamil-nadu,2020,2,125461,1694826
tenkasi district,tamil-nadu,2020,2,108499,1389035
chengalpattu district,tamil-nadu,2020,2,979769,11430968
kanniyakumari district,tamil-nadu,2020,2,201361,2294160
tirunelveli district,tamil-nadu,2020,2,182743,2083902
thiruvallur district,tamil-nadu,2020,2,1140330,13599646
theni district,tamil-nadu,2020,2,129850,1754220
ranipet district,tamil-nadu,2020,2,180545,2540420
namakkal district,tamil-nadu,2020,2,217014,2357316
vellore district,tamil-nadu,2020,2,252106,3459528
thiruvarur district,tamil-nadu,2020,2,89370,1157231
tiruchirappalli district,tamil-nadu,2020,3,433221,5742354
ramanathapuram district,tamil-nadu,2020,3,127682,1769579
krishnagiri district,tamil-nadu,2020,3,480568,9843357
cuddalore district,tamil-nadu,2020,3,323758,4318946
kancheepuram district,tamil-nadu,2020,3,744437,10979357
tiruppur district,tamil-nadu,2020,3,625391,8853479
dharmapuri district,tamil-nadu,2020,3,250927,4858338
thoothukkudi district,tamil-nadu,2020,3,202127,2568735
thanjavur district,tamil-nadu,2020,3,275156,3451569
madurai district,tamil-nadu,2020,3,516447,6967595
tiruvannamalai district,tamil-nadu,2020,3,299947,4626373
salem district,tamil-nadu,2020,3,564858,8036658
nagapattinam district,tamil-nadu,2020,3,136672,1679819
tirupathur district,tamil-nadu,2020,3,195018,3207917
ariyalur district,tamil-nadu,2020,3,81288,1186221
chennai district,tamil-nadu,2020,3,1566152,19853785
the nilgiris district,tamil-nadu,2020,3,107078,1552763
erode district,tamil-nadu,2020,3,364107,4686901
karur district,tamil-nadu,2020,3,136196,1821465
kallakkurichi district,tamil-nadu,2020,3,186752,3015004
viluppuram district,tamil-nadu,2020,3,233908,3650029
pudukkottai district,tamil-nadu,2020,3,142310,1923958
perambalur district,tamil-nadu,2020,3,68517,960757
coimbatore district,tamil-nadu,2020,3,1073680,14633137
virudhunagar district,tamil-nadu,2020,3,211752,2813373
dindigul district,tamil-nadu,2020,3,271023,3960702
sivaganga district,tamil-nadu,2020,3,145227,2077288
tenkasi district,tamil-nadu,2020,3,125008,1608242
chengalpattu district,tamil-nadu,2020,3,1064263,15465951
kanniyakumari district,tamil-nadu,2020,3,232596,2873401
tirunelveli district,tamil-nadu,2020,3,209034,2600875
thiruvallur district,tamil-nadu,2020,3,1260923,18894716
theni district,tamil-nadu,2020,3,150319,2140066
ranipet district,tamil-nadu,2020,3,203081,3140985
namakkal district,tamil-nadu,2020,3,246708,3170275
vellore district,tamil-nadu,2020,3,283896,4428079
thiruvarur district,tamil-nadu,2020,3,103424,1321235
tiruchirappalli district,tamil-nadu,2020,4,487716,7800392
ramanathapuram district,tamil-nadu,2020,4,145999,2165346
krishnagiri district,tamil-nadu,2020,4,545815,15449925
cuddalore district,tamil-nadu,2020,4,369293,5648690
kancheepuram district,tamil-nadu,2020,4,829207,18203380
tiruppur district,tamil-nadu,2020,4,710489,12955683
dharmapuri district,tamil-nadu,2020,4,282824,6532789
thoothukkudi district,tamil-nadu,2020,4,229630,3340803
thanjavur district,tamil-nadu,2020,4,313862,4559579
madurai district,tamil-nadu,2020,4,582252,9594616
tiruvannamalai district,tamil-nadu,2020,4,339997,6067460
salem district,tamil-nadu,2020,4,638883,11221873
nagapattinam district,tamil-nadu,2020,4,157944,2206727
tirupathur district,tamil-nadu,2020,4,222641,4673945
ariyalur district,tamil-nadu,2020,4,92841,1414528
chennai district,tamil-nadu,2020,4,1731527,34622039
the nilgiris district,tamil-nadu,2020,4,122548,2221229
erode district,tamil-nadu,2020,4,414616,6764324
karur district,tamil-nadu,2020,4,155208,2430114
kallakkurichi district,tamil-nadu,2020,4,212502,3489787
viluppuram district,tamil-nadu,2020,4,265349,4842033
pudukkottai district,tamil-nadu,2020,4,163394,2443995
perambalur district,tamil-nadu,2020,4,78324,1246209
coimbatore district,tamil-nadu,2020,4,1205249,22669786
virudhunagar district,tamil-nadu,2020,4,241382,3709784
dindigul district,tamil-nadu,2020,4,307925,5367168
sivaganga district,tamil-nadu,2020,4,166798,2627172
tenkasi district,tamil-nadu,2020,4,142862,2009081
chengalpattu district,tamil-nadu,2020,4,1170720,25436109
kanniyakumari district,tamil-nadu,2020,4,262708,3675595
tirunelveli district,tamil-nadu,2020,4,237977,3457326
thiruvallur district,tamil-nadu,2020,4,1408348,29646954
theni district,tamil-nadu,2020,4,171990,2779589
ranipet district,tamil-nadu,2020,4,229732,4467031
namakkal district,tamil-nadu,2020,4,280271,4367389
vellore district,tamil-nadu,2020,4,319993,6500445
thiruvarur district,tamil-nadu,2020,4,118770,1624657
tiruchirappalli district,tamil-nadu,2018,1,62230,0
ramanathapuram district,tamil-nadu,2018,1,14636,0
krishnagiri district,tamil-nadu,2018,1,66958,0
cuddalore district,tamil-nadu,2018,1,43486,0
kancheepuram district,tamil-nadu,2018,1,136352,0
tiruppur district,tamil-nadu,2018,1,87652,0
dharmapuri district,tamil-nadu,2018,1,33682,0
thoothukkudi district,tamil-nadu,2018,1,25509,0
thanjavur district,tamil-nadu,2018,1,36258,0
madurai district,tamil-nadu,2018,1,72582,0
tiruvannamalai district,tamil-nadu,2018,1,40279,0
salem district,tamil-nadu,2018,1,88288,0
nagapattinam district,tamil-nadu,2018,1,15626,0
tirupathur district,tamil-nadu,2018,1,25242,0
ariyalur district,tamil-nadu,2018,1,9211,0
chennai district,tamil-nadu,2018,1,292004,0
the nilgiris district,tamil-nadu,2018,1,13351,0
erode district,tamil-nadu,2018,1,53761,0
karur district,tamil-nadu,2018,1,19098,0
kallakkurichi district,tamil-nadu,2018,1,20750,0
viluppuram district,tamil-nadu,2018,1,31546,0
pudukkottai district,tamil-nadu,2018,1,16067,0
perambalur district,tamil-nadu,2018,1,8476,0
coimbatore district,tamil-nadu,2018,1,170306,0
virudhunagar district,tamil-nadu,2018,1,27079,0
dindigul district,tamil-nadu,2018,1,34025,0
sivaganga district,tamil-nadu,2018,1,16919,0
tenkasi district,tamil-nadu,2018,1,15000,0
chengalpattu district,tamil-nadu,2018,1,215210,0
kanniyakumari district,tamil-nadu,2018,1,28347,0
tirunelveli district,tamil-nadu,2018,1,28006,0
thiruvallur district,tamil-nadu,2018,1,215622,0
theni district,tamil-nadu,2018,1,18253,0
ranipet district,tamil-nadu,2018,1,31107,0
namakkal district,tamil-nadu,2018,1,38529,0
vellore district,tamil-nadu,2018,1,42137,0
thiruvarur district,tamil-nadu,2018,1,11170,0
tiruchirappalli district,tamil-nadu,2018,2,91156,0
ramanathapuram district,tamil-nadu,2018,2,22157,0
krishnagiri district,tamil-nadu,2018,2,96842,0
cuddalore district,tamil-nadu,2018,2,63447,0
kancheepuram district,tamil-nadu,2018,2,188583,0
tiruppur district,tamil-nadu,2018,2,128535,0
dharmapuri district,tamil-nadu,2018,2,49703,0
thoothukkudi district,tamil-nadu,2018,2,38026,0
thanjavur district,tamil-nadu,2018,2,53239,0
madurai district,tamil-nadu,2018,2,105957,0
tiruvannamalai district,tamil-nadu,2018,2,58386,0
salem district,tamil-nadu,2018,2,126830,0
nagapattinam district,tamil-nadu,2018,2,23371,0
tirupathur district,tamil-nadu,2018,2,36233,0
ariyalur district,tamil-nadu,2018,2,14083,0
chennai district,tamil-nadu,2018,2,401349,0
the nilgiris district,tamil-nadu,2018,2,19063,0
erode district,tamil-nadu,2018,2,77385,0
karur district,tamil-nadu,2018,2,27639,0
kallakkurichi district,tamil-nadu,2018,2,30936,0
viluppuram district,tamil-nadu,2018,2,45050,0
pudukkottai district,tamil-nadu,2018,2,24385,0
perambalur district,tamil-nadu,2018,2,12343,0
coimbatore district,tamil-nadu,2018,2,244374,0
virudhunagar district,tamil-nadu,2018,2,40179,0
dindigul district,tamil-nadu,2018,2,50731,0
sivaganga district,tamil-nadu,2018,2,25789,0
tenkasi district,tamil-nadu,2018,2,22686,0
chengalpattu district,tamil-nadu,2018,2,292432,0
kanniyakumari district,tamil-nadu,2018,2,41038,0
tirunelveli district,tamil-nadu,2018,2,40760,0
thiruvallur district,tamil-nadu,2018,2,300210,0
theni district,tamil-nadu,2018,2,27112,0
ranipet district,tamil-nadu,2018,2,43481,0
namakkal district,tamil-nadu,2018,2,55375,0
vellore district,tamil-nadu,2018,2,60166,0
thiruvarur district,tamil-nadu,2018,2,17005,0
tiruchirappalli district,tamil-nadu,2018,3,119661,0
ramanathapuram district,tamil-nadu,2018,3,29985,0
krishnagiri district,tamil-nadu,2018,3,128769,0
cuddalore district,tamil-nadu,2018,3,84632,0
kancheepuram district,tamil-nadu,2018,3,239985,0
tiruppur district,tamil-nadu,2018,3,172195,0
dharmapuri district,tamil-nadu,2018,3,67318,0
thoothukkudi district,tamil-nadu,2018,3,50858,0
thanjavur district,tamil-nadu,2018,3,70116,0
madurai district,tamil-nadu,2018,3,138064,0
tiruvannamalai district,tamil-nadu,2018,3,77186,0
salem district,tamil-nadu,2018,3,164489,0
nagapattinam district,tamil-nadu,2018,3,32391,0
tirupathur district,tamil-nadu,2018,3,47975,0
ariyalur district,tamil-nadu,2018,3,19441,0
chennai district,tamil-nadu,2018,3,511138,0
the nilgiris district,tamil-nadu,2018,3,25275,0
erode district,tamil-nadu,2018,3,101492,0
karur district,tamil-nadu,2018,3,36648,0
kallakkurichi district,tamil-nadu,2018,3,42462,0
viluppuram district,tamil-nadu,2018,3,59484,0
pudukkottai district,tamil-nadu,2018,3,33467,0
perambalur district,tamil-nadu,2018,3,16465,0
coimbatore district,tamil-nadu,2018,3,318461,0
virudhunagar district,tamil-nadu,2018,3,53656,0
dindigul district,tamil-nadu,2018,3,68304,0
sivaganga district,tamil-nadu,2018,3,34866,0
tenkasi district,tamil-nadu,2018,3,30847,0
chengalpattu district,tamil-nadu,2018,3,368413,0
kanniyakumari district,tamil-nadu,2018,3,54637,0
tirunelveli district,tamil-nadu,2018,3,54056,0
thiruvallur district,tamil-nadu,2018,3,381620,0
theni district,tamil-nadu,2018,3,36969,0
ranipet district,tamil-nadu,2018,3,55677,0
namakkal district,tamil-nadu,2018,3,72500,0
vellore district,tamil-nadu,2018,3,77325,0
thiruvarur district,tamil-nadu,2018,3,23350,0
tiruchirappalli district,tamil-nadu,2018,4,160006,0
ramanathapuram district,tamil-nadu,2018,4,40421,0
krishnagiri district,tamil-nadu,2018,4,172743,0
cuddalore district,tamil-nadu,2018,4,114395,0
